waypoint1	waypoint2	distance_m	duration_s
43.652042,-79.40361	43.645824,-79.367447	4493	916
43.652042,-79.40361	43.671879,-79.389091	3855	877
43.652042,-79.40361	43.655918,-79.393417	1177	333
43.652042,-79.40361	43.670849,-79.36808	4844	1123
43.652042,-79.40361	43.6721,-79.386032	5162	966
43.652042,-79.40361	43.661106,-79.370842	3199	877
43.652042,-79.40361	43.65184,-79.386452	2348	570
43.671879,-79.389091	43.645824,-79.367447	6628	939
43.655918,-79.393417	43.645824,-79.367447	5062	901
43.670849,-79.36808	43.645824,-79.367447	3822	807
43.6721,-79.386032	43.645824,-79.367447	6288	818
43.661106,-79.370842	43.645824,-79.367447	2315	544
43.645824,-79.367447	43.65184,-79.386452	2906	651
43.671879,-79.389091	43.655918,-79.393417	2598	618
43.671879,-79.389091	43.670849,-79.36808	2584	521
43.671879,-79.389091	43.6721,-79.386032	454	156
43.671879,-79.389091	43.661106,-79.370842	2737	633
43.671879,-79.389091	43.65184,-79.386452	2820	670
43.670849,-79.36808	43.655918,-79.393417	3623	787
43.6721,-79.386032	43.655918,-79.393417	3005	621
43.661106,-79.370842	43.655918,-79.393417	2151	568
43.655918,-79.393417	43.65184,-79.386452	1622	383
43.670849,-79.36808	43.6721,-79.386032	2193	481
43.670849,-79.36808	43.661106,-79.370842	1637	338
43.670849,-79.36808	43.65184,-79.386452	4225	880
43.6721,-79.386032	43.661106,-79.370842	2283	478
43.6721,-79.386032	43.65184,-79.386452	3559	831
43.661106,-79.370842	43.65184,-79.386452	2673	613
